Start Time,End Time,mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,sd1,sd2,ratio_sd2_sd1,
10.0,13.0,778.3766233766233,17.64581903506912,15.88987681686672,0,0.0,39,16.883116883116884,15.890248582070704,775.0,85.0,0.020414601498614238,0.02267002695754271,77.12285230346387,80.53691275167785,72.28915662650603,1.7399548381405594,78.19830325576437,60.26290773734212,1.2976191523415077,56.476685921559366,43.52331407844064,183.56347447240063,45.10226347929415,11.260345326626592,22.270035517751968,1.977740013451585,
10.25,13.25,777.3491379310345,16.702738431619284,16.011903847532412,0,0.0,39,16.810344827586206,16.012035516613164,775.0,85.0,0.02059825467772466,0.021486790962520024,77.22078908594044,80.53691275167785,72.28915662650603,1.6513955394071285,48.586908963276414,57.29060920905241,0.8480780643470495,45.88973164651931,54.11026835348069,162.97031948820114,57.09280131587231,11.34671241162965,20.71750611627648,1.8258598054395359,
10.5,13.5,775.1077586206897,17.04619468960827,16.09848393903013,0,0.0,38,16.379310344827587,16.099662549231713,775.0,95.0,0.020770870076028125,0.021992032075568574,77.44574478640729,81.63265306122449,72.28915662650603,1.6937025972530169,51.82619380716579,60.05623462528353,0.8629610918921494,46.3220136828337,53.6779863171663,173.31689087273412,61.4344624402848,11.40806672702848,21.236796376660113,1.8615596213462695,
10.75,13.75,773.1545064377682,16.512330524364618,15.763550406018677,0,0.0,36,15.450643776824034,15.763609336390724,770.0,95.0,0.02038869230552632,0.021357090189441597,77.63920294349994,81.63265306122449,72.28915662650603,1.6453548293651061,57.32534740870025,58.27827880511805,0.9836486008860285,49.587845369722544,50.41215463027746,174.52866298850353,58.92503677468522,11.170613985295477,20.506864750206162,1.8357867147858238,
11.0,14.0,772.2103004291846,16.39841971977498,15.86240570763248,0,0.0,37,15.879828326180258,15.86242034843185,770.0,95.0,0.02054158088750658,0.02123569150872625,77.73368692264543,81.63265306122449,72.28915662650603,1.6356634544613846,64.91438507842481,56.674624328086544,1.145387126037902,53.38836577029347,46.611634229706524,184.3315656414068,62.74255623489543,11.24066637744605,20.284569455691287,1.8045700116490841,
11.25,14.25,769.6153846153846,19.358309326493146,15.719495659638765,0,0.0,34,14.52991452991453,15.719510306998925,770.0,115.0,0.02042515082368676,0.025153225511685248,78.0103129710972,83.91608391608392,72.28915662650603,1.9652145082723276,63.08451063466429,53.66562608357914,1.1755105686536877,54.03377880996235,45.96622119003765,177.19751231108614,60.44737559284273,11.139291740611817,25.008087881281934,2.2450339270769817,
11.5,14.5,764.7659574468086,22.839286858092038,14.837939778256777,0,0.0,28,11.914893617021276,14.846076347169406,765.0,155.0,0.01941257479181399,0.02986441359699326,78.5271882761493,88.88888888888889,72.28915662650603,2.413537919615647,75.8864469494029,49.678983288172596,1.5275362321569428,60.4357798207853,39.56422017921469,210.19666418993262,84.63123395235714,10.514498768253425,30.54032357433085,2.9045914833849884,
11.75,14.75,750.5416666666666,46.55853306747003,14.320813359528291,0,0.0,25,10.416666666666666,14.347743396986651,765.0,270.0,0.019116518155092414,0.0620332423038517,80.3020196308204,107.14285714285714,72.28915662650603,5.845080668439411,65.12210417278666,50.874100591392306,1.2800639896483017,56.141581791559744,43.85841820844025,187.8071060560413,71.81090129186232,10.14759577142424,65.05705421281517,6.411080582852607,
12.0,15.0,724.3951612903226,82.57273261085697,13.642343062470221,0,0.0,24,9.67741935483871,13.672721742142516,755.0,310.0,0.018874672930984382,0.11398852038682177,84.15898760224849,115.38461538461539,72.28915662650603,11.755357005899667,94.49261545827316,46.838768238814666,2.0174018022098283,66.85890492715824,33.141095072841765,310.37260648212253,169.04122278503468,9.666180302366895,116.37472792668648,12.039370701391794,
12.25,15.25,703.671875,92.76469150596081,12.900768763099725,0,0.0,20,7.8125,12.936496479977512,750.0,310.0,0.018384273891829925,0.13182947166385017,86.99015660861022,115.38461538461539,72.28915662650603,13.142157756391818,195.90834568737964,38.45566684471363,5.094394708547629,83.5914795837319,16.40852041626809,675.4908692608304,441.12685672873715,9.140160563375566,130.87029244739952,14.318161211718103,
12.5,15.5,677.312030075188,104.9888242301138,11.808306324600789,0,0.0,15,5.639097744360902,11.867984521550978,740.0,315.0,0.01752218179298177,0.15500806064002592,90.97294081652652,122.44897959183673,74.53416149068323,15.489696204193873,187.3024327629219,31.31052777885925,5.982091202224569,85.67764340171625,14.322356598283752,639.8124272580211,421.1994667162399,8.365532418634631,148.24076461552752,17.720421988361913,
12.75,15.75,647.3021582733813,118.49045443899257,11.173358100343636,0,0.0,12,4.316546762589928,11.220629531172138,677.5,345.0,0.017334454068718277,0.18305277207024137,96.0753054505806,130.43478260869566,74.53416149068323,18.634622879941986,155.12982666793042,30.329517303945707,5.114813569675534,83.64627165480267,16.35372834519732,623.6611434743874,438.2017995025112,7.915057306258504,167.38377297144604,21.147512455670313,
13.0,16.0,620.7560137457044,122.50663144578301,10.426245694715027,0,0.0,11,3.7800687285223367,10.47575196872973,575.0,345.0,0.016875796185232238,0.1973506961399627,100.52498764049258,130.43478260869566,74.53416149068323,19.764463655073115,122.59634806493256,25.922575558813755,4.729327446139873,82.54594436431194,17.45405563568807,591.5244720093796,443.0055483856333,7.385213154978645,173.09306203034643,23.437788239552436,
